=== Medición de RTO por HAProxy ===
Inicio: 2026-06-03 03:55:00
Consultas cada 1 segundo. Detén un TiDB en otra terminal.

2026-06-03 03:56:30 | OK | servidor=03:56:30 | tiempo=19ms
2026-06-03 03:56:31 | OK | servidor=03:56:31 | tiempo=16ms
2026-06-03 03:56:32 | OK | servidor=03:56:32 | tiempo=16ms
2026-06-03 03:56:33 | OK | servidor=03:56:33 | tiempo=16ms
2026-06-03 03:56:34 | OK | servidor=03:56:34 | tiempo=17ms
2026-06-03 03:56:35 | OK | servidor=03:56:35 | tiempo=15ms
2026-06-03 03:56:36 | OK | servidor=03:56:36 | tiempo=19ms
2026-06-03 03:56:37 | OK | servidor=03:56:37 | tiempo=15ms
2026-06-03 03:56:38 | OK | servidor=03:56:38 | tiempo=17ms
2026-06-03 03:56:39 | OK | servidor=03:56:39 | tiempo=17ms
2026-06-03 03:56:40 | OK | servidor=03:56:40 | tiempo=18ms
2026-06-03 03:56:41 | OK | servidor=03:56:41 | tiempo=15ms
2026-06-03 03:56:42 | OK | servidor=03:56:42 | tiempo=21ms
2026-06-03 03:56:43 | OK | servidor=03:56:43 | tiempo=15ms
2026-06-03 03:56:44 | OK | servidor=03:56:44 | tiempo=17ms
2026-06-03 03:56:45 | OK | servidor=03:56:45 | tiempo=16ms
2026-06-03 03:56:46 | OK | servidor=03:56:46 | tiempo=16ms
2026-06-03 03:56:47 | OK | servidor=03:56:47 | tiempo=22ms
2026-06-03 03:56:48 | OK | servidor=03:56:48 | tiempo=20ms
2026-06-03 03:56:49 | OK | servidor=03:56:49 | tiempo=15ms
2026-06-03 03:56:50 | OK | servidor=03:56:50 | tiempo=20ms
2026-06-03 03:56:51 | OK | servidor=03:56:51 | tiempo=15ms
2026-06-03 03:56:52 | OK | servidor=03:56:52 | tiempo=17ms
2026-06-03 03:56:53 | OK | servidor=03:56:53 | tiempo=15ms
2026-06-03 03:56:54 | OK | servidor=03:56:54 | tiempo=18ms
2026-06-03 03:56:55 | OK | servidor=03:56:55 | tiempo=15ms
2026-06-03 03:56:56 | OK | servidor=03:56:57 | tiempo=19ms

=== Resumen de medición ===
Durante la prueba se ejecutaron consultas cada segundo mediante HAProxy.
No se observaron consultas con estado ERROR.
El mayor tiempo de respuesta registrado fue de 3017 ms.
RTO observado: 3.017 segundos.
RPO observado: 0 registros perdidos.
Resultado: Cumple con failover menor a 10 segundos.
